"month","total_sales"
"2014-01-01 00:00:00-07","14236.90"
"2014-02-01 00:00:00-07","4519.89"
"2014-03-01 00:00:00-07","55691.01"
"2014-04-01 00:00:00-07","28295.35"
"2014-05-01 00:00:00-07","23648.29"
"2014-06-01 00:00:00-07","34595.13"
"2014-07-01 00:00:00-07","33946.39"
"2014-08-01 00:00:00-07","27909.47"
"2014-09-01 00:00:00-07","81777.35"
"2014-10-01 00:00:00-07","31453.39"
"2014-11-01 00:00:00-07","78628.72"
"2014-12-01 00:00:00-07","69545.62"
"2015-01-01 00:00:00-07","18174.08"
"2015-02-01 00:00:00-07","11951.41"
"2015-03-01 00:00:00-07","38726.25"
"2015-04-01 00:00:00-07","34195.21"
"2015-05-01 00:00:00-07","30131.69"
"2015-06-01 00:00:00-07","24797.29"
"2015-07-01 00:00:00-07","28765.33"
"2015-08-01 00:00:00-07","36898.33"
"2015-09-01 00:00:00-07","64595.92"
"2015-10-01 00:00:00-07","31404.92"
"2015-11-01 00:00:00-07","75972.56"
"2015-12-01 00:00:00-07","74919.52"
"2016-01-01 00:00:00-07","18542.49"
"2016-02-01 00:00:00-07","22978.82"
"2016-03-01 00:00:00-07","51715.88"
"2016-04-01 00:00:00-07","38750.04"
"2016-05-01 00:00:00-07","56987.73"
"2016-06-01 00:00:00-07","40344.53"
"2016-07-01 00:00:00-07","39261.96"
"2016-08-01 00:00:00-07","31115.37"
"2016-09-01 00:00:00-07","73410.02"
"2016-10-01 00:00:00-07","59687.75"
"2016-11-01 00:00:00-07","79411.97"
"2016-12-01 00:00:00-07","96999.04"
"2017-01-01 00:00:00-07","43971.37"
"2017-02-01 00:00:00-07","20301.13"
"2017-03-01 00:00:00-07","58872.35"
"2017-04-01 00:00:00-07","36521.54"
"2017-05-01 00:00:00-07","44261.11"
"2017-06-01 00:00:00-07","52981.73"
"2017-07-01 00:00:00-07","45264.42"
"2017-08-01 00:00:00-07","63120.89"
"2017-09-01 00:00:00-07","87866.65"
"2017-10-01 00:00:00-07","77776.92"
"2017-11-01 00:00:00-07","118447.83"
"2017-12-01 00:00:00-07","83829.32"
